Country,Year,earthquake_affected_annual_number
Afghanistan,1970,0
Afghanistan,1971,0
Afghanistan,1972,0
Afghanistan,1973,0
Afghanistan,1974,0
Afghanistan,1975,0
Afghanistan,1976,90100
Afghanistan,1977,0
Afghanistan,1978,0
Afghanistan,1979,0
Afghanistan,1980,0
Afghanistan,1981,0
Afghanistan,1982,38500
Afghanistan,1983,34500
Afghanistan,1984,36
Afghanistan,1985,0
Afghanistan,1986,0
Afghanistan,1987,0
Afghanistan,1988,0
Afghanistan,1989,0
Afghanistan,1990,0
Afghanistan,1991,7150
Afghanistan,1992,14
Afghanistan,1993,0
Afghanistan,1994,101000
Afghanistan,1995,0
Afghanistan,1996,3250
Afghanistan,1997,5
Afghanistan,1998,157000
Afghanistan,1999,92000
Afghanistan,2000,0
Afghanistan,2001,274
Afghanistan,2002,102000
Afghanistan,2003,1000
Afghanistan,2004,1040
Afghanistan,2005,507
Afghanistan,2006,936
Afghanistan,2007,0
Afghanistan,2008,0
Albania,1970,0
Albania,1971,0
Albania,1972,0
Albania,1973,0
Albania,1974,0
Albania,1975,0
Albania,1976,0
Albania,1977,0
Albania,1978,0
Albania,1979,385
Albania,1980,0
Albania,1981,0
Albania,1982,5010
Albania,1983,0
Albania,1984,0
Albania,1985,0
Albania,1986,0
Albania,1987,0
Albania,1988,690
Albania,1989,0
Albania,1990,0
Albania,1991,0
Albania,1992,0
Albania,1993,0
Albania,1994,0
Albania,1995,0
Albania,1996,0
Albania,1997,0
Albania,1998,2100
Albania,1999,0
Albania,2000,0
Albania,2001,0
Albania,2002,0
Albania,2003,0
Albania,2004,0
Albania,2005,0
Albania,2006,0
Albania,2007,0
Albania,2008,0
Algeria,1970,0
Algeria,1971,0
Algeria,1972,0
Algeria,1973,0
Algeria,1974,0
Algeria,1975,0
Algeria,1976,0
Algeria,1977,0
Algeria,1978,0
Algeria,1979,0
Algeria,1980,933000
Algeria,1981,0
Algeria,1982,0
Algeria,1983,0
Algeria,1984,0
Algeria,1985,30
Algeria,1986,0
Algeria,1987,3150
Algeria,1988,257
Algeria,1989,12200
Algeria,1990,0
Algeria,1991,0
Algeria,1992,2250
Algeria,1993,0
Algeria,1994,13000
Algeria,1995,0
Algeria,1996,0
Algeria,1997,0
Algeria,1998,0
Algeria,1999,15200
Algeria,2000,0
Algeria,2001,0
Algeria,2002,0
Algeria,2003,213000
Algeria,2004,315
Algeria,2005,0
Algeria,2006,323
Algeria,2007,0
Algeria,2008,0
Argentina,1970,0
Argentina,1971,0
Argentina,1972,0
Argentina,1973,0
Argentina,1974,0
Argentina,1975,0
Argentina,1976,0
Argentina,1977,170
Argentina,1978,0
Argentina,1979,0
Argentina,1980,0
Argentina,1981,0
Argentina,1982,0
Argentina,1983,0
Argentina,1984,0
Argentina,1985,45200
Argentina,1986,0
Argentina,1987,0
Argentina,1988,0
Argentina,1989,0
Argentina,1990,0
Argentina,1991,0
Argentina,1992,0
Argentina,1993,0
Argentina,1994,0
Argentina,1995,0
Argentina,1996,0
Argentina,1997,0
Argentina,1998,0
Argentina,1999,0
Argentina,2000,0
Argentina,2001,0
Argentina,2002,727
Argentina,2003,0
Argentina,2004,0
Argentina,2005,0
Argentina,2006,0
Argentina,2007,0
Argentina,2008,0
Armenia,1970,0
Armenia,1971,0
Armenia,1972,0
Armenia,1973,0
Armenia,1974,0
Armenia,1975,0
Armenia,1976,0
Armenia,1977,0
Armenia,1978,0
Armenia,1979,0
Armenia,1980,0
Armenia,1981,0
Armenia,1982,0
Armenia,1983,0
